id	filename	md5	size	state
00074acf-1469-4052-8bf2-41d8455623ef	b1558748-bec9-4bea-a35b-040ca9a1f4cd.FPKM.txt.gz	b7c03debf817dd2ce95a38e1a4f4a90c	514456	validated
00011154-9a17-45bf-8ffe-dd7c09adabda	1a13663e-9015-4eeb-ab6a-8f40a8bbf403.FPKM.txt.gz	d9e2c8f09475bdb7246514e4168cc368	503188	validated
002aa584-7dd3-4c62-952b-b24e5858482b	a5dc521e-bee4-489c-8679-d4b90a327d33.FPKM.txt.gz	839d136d56f0ce9c3965a677ba3c4b2b	528468	validated
002f8b71-a424-4711-b039-1721276c9332	8994192d-24da-4f55-addb-0717e56f08af.FPKM.txt.gz	97344d494618bc4a81776434bf75d94c	533674	validated
0030d77c-a546-4086-9443-00d0f810c79d	852726f5-cf78-4e8a-bafb-be78aed6eea7.FPKM.txt.gz	644182fde1cc251f908493adbde7b19a	520794	validated
005c0660-3700-40ea-b037-b456319d369a	bb15d7d0-8705-49af-89e4-fc13c01de642.FPKM.txt.gz	0ba5871795236691b8fe3c3e7246629d	530648	validated
0077f87b-f1b3-40cd-81a3-97c254108a11	09001b78-7752-4939-847f-f1674503e4a4.FPKM.txt.gz	017d0043b81f3db45975640f8adaaf27	513673	validated
008cfb58-052a-4249-ac72-c3fb857de845	7444bf59-9dfd-4037-b405-c9e45d78b445.FPKM.txt.gz	bc2d83dc1d301ac7b7b06c04af37685a	502962	validated
008d0418-e5a5-43d0-bc99-77ae9a0d85cf	779250be-012c-4e5b-9b4e-258192607c4b.FPKM.txt.gz	2c5d84a91707b758ffee1e66c5562b74	531616	validated
00ae19b2-33b1-443e-88c6-aad3826a2c9b	257b1c80-203b-4cf0-9841-5a1242299270.FPKM.txt.gz	90a6406bc5e603623bd4cb9c5061885c	527716	validated
00ea2763-6c6e-491e-a158-3197fd872b9b	46b34d45-ada9-407f-a4c0-2bfa0c1859fd.FPKM.txt.gz	faf869393da502c000ac443991b11eea	521377	validated
0113bc96-3f6a-4ab6-8122-58cacfc6a5a0	5697212f-b3fd-479f-84b0-ec0aae54534a.FPKM.txt.gz	ea05d5c9dbcfb5752bf33c0ff21ab0dc	480494	validated
012417b7-d0a7-4ad2-ab04-17c3158fa71e	7cd11fe2-c1bc-480d-a0a3-3e05e9c8faae.FPKM.txt.gz	ca35261d6a0549bad6b08dac4ca73f61	508375	validated
012fa3dc-aecb-4e7d-91d2-748a9dc540e7	a8165949-f924-4c32-8ccf-4109d2899e66.FPKM.txt.gz	efe3f7e6e655daa9404e52cf163a460b	512517	validated
00314416-31db-41a3-8264-ef7bcd3279af	6b1c72e9-ed03-4c02-91f6-cda07c1f9e49.FPKM.txt.gz	3b7d48cc1b21cbeeb60c63ea4c9e5e09	545002	validated
0039181f-544b-4ee6-8d6b-ea9daf1adfe0	d229a59b-4f6c-4714-8dd5-1c714a764b22.FPKM.txt.gz	d401e9cb1812210e1692f83df95277ba	530904	validated
003bf5f9-48dd-4910-9f87-21409e9e258d	ee05eaa6-eaca-4438-ac1f-4259f525e2a1.FPKM.txt.gz	b95daaae8fa17934902de6423b3a7f28	531353	validated
015abfd3-b82c-4b5d-8e97-e9dc868ea7e9	186b83bd-ec3f-42b4-ba91-d86c9618d5e3.FPKM.txt.gz	035edc0b2b3df048f393a176bd3a98d6	539091	validated
006f506a-aa69-4629-8af2-d11555eb49c9	85ac083c-dbb9-4541-8b75-d73ab216f54c.FPKM.txt.gz	576a5d4630f2fbc236f2ed57639ef4b1	504810	validated
015e4f2c-de39-4c6c-9b3a-b28dc6658ba8	a302b358-11e7-4a27-8670-14f87d8faa0c.FPKM.txt.gz	4a2f0a4166dd324283116fc3c2153caa	503967	validated
0023fae1-205d-4626-a932-a64cb37d4732	590cf22a-755d-4779-a91d-565a5208a372.FPKM.txt.gz	36c01d5da320ce0f7c010eb2779a48b7	528279	validated
00a4165b-f4ab-49ba-9f38-04569b949995	438e23c7-f71b-436b-8270-9cbfcf283925.FPKM.txt.gz	03052056ddcc57133ae38bbd952945df	512253	validated
